BackPresTurbineOP.steam_flow_in,BackPresTurbineOP.steam_pressure_in,BackPresTurbineOP.steam_temperature_in,BackPresTurbineOP.steam_pressure_out,BackPresTurbineOP.steam_temperature_out,BackPresTurbineOP.electricity_generation
51.22916667,3.286666667,441.4466667,0.81,321.8116667,2.573333333
51.10416667,3.278333333,442.39,0.811666667,322.805,2.5475
52.0925,3.261666667,443.2758333,0.82,323.7691667,2.625
52.395,3.25,443.9608333,0.82,324.3916667,2.630833333
52.4,3.2425,444.2516667,0.825833333,325.0408333,2.615
52.18583333,3.25,444.3433333,0.83,325.7966667,2.5875
52.44666667,3.255833333,444.21,0.8375,326.4983333,2.595
52.64333333,3.260833333,443.7608333,0.843333333,326.8666667,2.601666667
53.2525,3.26,442.895,0.855833333,327.1291667,2.6275
53.4525,3.27,442.1425,0.865,327.1933333,2.6225
53.40583333,3.273333333,441.4716667,0.87,327.2241667,2.613333333
53.71416667,3.265833333,441.075,0.87,327.1908333,2.631666667
53.43166667,3.265833333,440.915,0.87,327.1966667,2.6
51.64416667,3.281666667,441.0766667,0.8625,327.5466667,2.465833333
49.44,3.304166667,441.4466667,0.8575,328.2975,2.309166667
46.59166667,3.335,442.0458333,0.85,329.4533333,2.139166667
44.80333333,3.365,442.7783333,0.846666667,330.4341667,2.065
43.49416667,3.393333333,443.6808333,0.835833333,331.0383333,2.036666667
42.63916667,3.410833333,444.6816667,0.8275,331.2533333,2.018333333
42.30333333,3.409166667,445.4083333,0.82,331.3066667,2.0075
42.6775,3.400833333,445.5333333,0.8275,331.36,2.021666667
43.01833333,3.403333333,445.2416667,0.825833333,331.3125,2.039166667
41.22083333,3.420833333,444.4425,0.82,331.0883333,1.964166667
40.79666667,3.365833333,443.4175,0.82,330.9475,1.905
40.745,3.349166667,442.4566667,0.81,330.7466667,1.895833333
40.96833333,3.414166667,441.48,0.81,330.3633333,1.953333333
41.14083333,3.423333333,440.9391667,0.800833333,329.39,1.983333333
42.13666667,3.436666667,440.8483333,0.8,328.3475,2.05
41.995,3.450833333,441.0775,0.800833333,327.5333333,2.056666667
42.82833333,3.403333333,441.3141667,0.81,327.0941667,2.0625
43.4675,3.400833333,441.5383333,0.815,327.1575,2.08
43.525,3.384166667,441.7383333,0.823333333,327.3991667,2.056666667
43.87,3.390833333,442.3983333,0.834166667,328.0666667,2.0575
41.49666667,3.426666667,443.0616667,0.84,328.8375,1.9425
39.5025,3.439166667,443.9441667,0.836666667,329.7508333,1.830833333
38.2325,3.4475,444.7,0.83,330.6308333,1.760833333
37.2725,3.475,444.9258333,0.83,331.2725,1.710833333
36.87666667,3.485833333,444.7483333,0.820833333,331.7358333,1.689166667
36.62666667,3.500833333,443.6566667,0.82,331.83,1.681666667
35.665,3.426666667,441.9525,0.8125,331.62,1.584166667
34.6075,3.406666667,439.5891667,0.803333333,331.6141667,1.5025
34.42583333,3.42,436.4,0.796666667,331.2358333,1.486666667
33.80333333,3.420833333,433.225,0.79,330.3641667,1.4375
35.4825,3.425,430.4491667,0.7975,328.9325,1.581666667
35.85166667,3.414166667,428.3833333,0.7925,326.6241667,1.608333333
36.2225,3.375833333,427.3,0.79,324.5458333,1.620833333
36.315,3.319166667,426.2991667,0.780833333,322.8808333,1.6125
36.39333333,3.275,425.1425,0.766666667,321.3925,1.610833333
36.41666667,3.2475,424.2083333,0.755,319.9375,1.62
36.3,3.225,423.53,0.735833333,318.4941667,1.629166667
36.45,3.238333333,423.4716667,0.718333333,317.045,1.678333333
36.35166667,3.326666667,424.5966667,0.71,315.435,1.735833333
36.78166667,3.35,427.0433333,0.71,314.1533333,1.79
38.41083333,3.371666667,429.97,0.715,313.3258333,1.9225
39.95333333,3.38,432.895,0.7225,312.8025,2.024166667
40.60083333,3.4,435.135,0.73,312.8283333,2.0675
40.98833333,3.413333333,436.755,0.735833333,313.25,2.1
40.94666667,3.434166667,438.0441667,0.74,313.9808333,2.101666667
41.03416667,3.450833333,439.1841667,0.748333333,314.8383333,2.103333333
42.13916667,3.445,440.2491667,0.76,315.7908333,2.155833333
44.16333333,3.381666667,441.2241667,0.771666667,316.945,2.214166667
45.59916667,3.3375,441.8216667,0.78,318.5383333,2.245
45.61083333,3.316666667,441.9633333,0.7875,320.2033333,2.211666667
44.30666667,3.321666667,441.955,0.79,321.6091667,2.134166667
43.185,3.329166667,442.0966667,0.79,322.805,2.0725
42.59166667,3.339166667,442.2425,0.7875,323.7125,2.045
41.56916667,3.325833333,442.4541667,0.78,324.2966667,2
41.74833333,3.310833333,442.6783333,0.7775,324.8183333,2.003333333
41.77416667,3.299166667,442.6533333,0.77,325.1258333,2.000833333
41.76333333,3.341666667,442.02,0.770833333,325.1833333,2.0275
41.75166667,3.329166667,441.2908333,0.77,324.9583333,2.021666667
41.355,3.371666667,440.6066667,0.77,324.5191667,2.025833333
40.61666667,3.4025,439.8375,0.761666667,323.8266667,2.015833333
40.00666667,3.426666667,439.2333333,0.753333333,322.9883333,2.010833333
39.43083333,3.443333333,438.825,0.744166667,322.01,1.995833333
39.25666667,3.43,438.59,0.74,321.1283333,1.985
39.48916667,3.391666667,438.4433333,0.74,320.5716667,1.984166667
40.02833333,3.340833333,438.06,0.74,320.2016667,1.985
40.19833333,3.31,437.5233333,0.74,319.9375,1.978333333
40.4475,3.278333333,436.845,0.735,319.7775,1.9775
41.34666667,3.2075,436.1125,0.73,319.6508333,1.975833333
42.01666667,3.220833333,435.3008333,0.7375,319.5766667,2.01
40.735,3.250833333,434.5316667,0.74,319.2841667,1.959166667
40.465,3.264166667,434.0266667,0.74,319.0216667,1.954166667
40.73,3.281666667,433.7,0.74,318.5375,1.979166667
40.6025,3.313333333,433.4833333,0.7325,317.9125,1.990833333
40.225,3.349166667,433.4916667,0.73,317.2108333,2.010833333
40.51416667,3.371666667,433.9133333,0.723333333,316.4541667,2.055
40.57083333,3.3975,434.8633333,0.715,315.7333333,2.095833333
39.95166667,3.420833333,435.83,0.705833333,315.0158333,2.091666667
