ExtCondensTurbineOP.steam_flow_in,ExtCondensTurbineOP.steam_flow_side,ExtCondensTurbineOP.electricity_generation,ExtCondensTurbineOP.,ExtCondensTurbineOP.,ExtCondensTurbineOP.
78.305,26.33833333,11.38916667,,,
78.22583333,26.02916667,11.42083333,,,
77.65333333,25.11916667,11.37,,,
77.19916667,25.31083333,11.27833333,,,
76.93833333,25.80416667,11.18,,,
76.96083333,25.67583333,11.175,,,
76.7325,25.33833333,11.17,,,
76.66916667,25.73333333,11.12083333,,,
76.50583333,25.64166667,11.08583333,,,
76.37666667,26.33166667,11.02916667,,,
76.25166667,26.17916667,10.99833333,,,
76.74583333,26.49166667,11.04166667,,,
76.275,26.31916667,10.97666667,,,
76.5875,26.67166667,10.97583333,,,
76.02583333,26.10833333,10.92166667,,,
77.26916667,27.40166667,10.98833333,,,
75.81916667,26.00666667,10.905,,,
76.74666667,28.12333333,10.85416667,,,
76.50583333,28.84833333,10.7075,,,
76.78833333,29.83083333,10.65416667,,,
76.80166667,29.78916667,10.63166667,,,
84.2575,32.07333333,10.98083333,,,
84.35,33.07666667,11.25,,,
81.40416667,31.7825,11.1675,,,
81.08,31.37916667,11.17,,,
80.77666667,30.98833333,11.175,,,
79.84333333,29.27833333,11.18833333,,,
79.40583333,28.3275,11.26083333,,,
79.7725,28.18166667,11.355,,,
80.60666667,29.05833333,11.45083333,,,
80.18166667,28.34666667,11.4525,,,
80.83166667,28.86416667,11.48,,,
80.9175,29.16583333,11.45666667,,,
80.95083333,29.3475,11.47666667,,,
80.42333333,28.69833333,11.49416667,,,
80.675,28.29416667,11.52916667,,,
81.2,28.39,11.57,,,
79.6575,27.035,11.575,,,
79.40333333,26.63666667,11.59333333,,,
79.8575,26.98416667,11.62916667,,,
80.91333333,27.91666667,11.63,,,
80.73083333,27.70416667,11.61166667,,,
80.6725,27.8475,11.605,,,
79.985,27.41333333,11.515,,,
81.33333333,29.13,11.52083333,,,
82.02666667,30.33833333,11.52166667,,,
81.45333333,30.455,11.4325,,,
85.27916667,31.8675,11.5575,,,
82.30916667,31.26083333,11.42333333,,,
82.72916667,32.00916667,11.4525,,,
82.74,32.47916667,11.42583333,,,
82.805,32.94,11.365,,,
82.99666667,33.41166667,11.36083333,,,
83.55666667,33.81416667,11.37,,,
83.85416667,33.2875,11.365,,,
81.99666667,31.48916667,11.21833333,,,
75.99833333,26.4025,10.8475,,,
75.5025,26.74,10.70833333,,,
75.04166667,25.87916667,10.64583333,,,
75.12666667,25.4375,10.7175,,,
74.51166667,24.69333333,10.70166667,,,
74.9425,24.7475,10.78666667,,,
74.69583333,24.19333333,10.8075,,,
74.975,24.19166667,10.81416667,,,
75.64,24.1975,10.9025,,,
75.20454545,23.89,10.93909091,,,
75.22166667,23.96083333,10.985,,,
75.03416667,23.8625,10.98416667,,,
75.16,24.06833333,10.98833333,,,
75.26083333,24.53166667,11.01416667,,,
75.30833333,24.67833333,11.05416667,,,
75.13666667,23.44333333,11.09166667,,,
75.615,24.10166667,11.15,,,
75.65333333,23.93166667,11.18583333,,,
76.2825,24.52166667,11.2275,,,
76.49083333,24.26333333,11.31666667,,,
76.7125,24.52,11.3525,,,
76.67416667,24.28583333,11.33916667,,,
77.0975,25.4375,11.31,,,
77.30833333,25.68583333,11.3375,,,
77.58916667,25.12583333,11.40416667,,,
78.79166667,26.34833333,11.43083333,,,
