ExtCondensTurbineOP.steam_flow_in,ExtCondensTurbineOP.steam_pressure_in,ExtCondensTurbineOP.steam_temperature_in,ExtCondensTurbineOP.steam_flow_side,ExtCondensTurbineOP.steam_pressure_side,ExtCondensTurbineOP.steam_temperature_side,ExtCondensTurbineOP.steam_pressure_out,ExtCondensTurbineOP.steam_temperature_out,ExtCondensTurbineOP.electricity_generation
83.34166667,3.4425,437.0308333,30.95666667,0.78,313.5958333,-86.6625,47.87416667,11.92166667
83.74,3.461666667,437.1666667,31.7725,0.78,313.9816667,-86.62416667,47.90916667,11.95166667
83.92833333,3.465,437.1333333,31.93333333,0.78,314.2716667,-86.605,48.00416667,11.94333333
83.5475,3.45,436.8475,31.29916667,0.78,314.6183333,-86.5575,48.01916667,11.96333333
83.70833333,3.458333333,436.2725,31.84333333,0.78,314.7333333,-86.51833333,48.12416667,11.95833333
83.68666667,3.454166667,435.8791667,31.91666667,0.78,314.6283333,-86.52416667,48.10583333,11.94666667
83.79416667,3.46,435.4008333,32.2225,0.78,314.505,-86.55833333,48.17666667,11.90833333
83.7175,3.455833333,434.915,31.965,0.78,314.2608333,-86.58583333,48.15166667,11.90583333
83.7225,3.453333333,434.6525,32.00583333,0.78,313.8566667,-86.57666667,48.1475,11.87166667
83.69,3.451666667,434.5475,32.16583333,0.78,313.0908333,-86.6525,48.12083333,11.7725
83.49583333,3.44,434.81,31.89666667,0.78,312.46,-86.68833333,48.1175,11.77083333
83.345,3.429166667,434.985,31.15,0.78,312.0558333,-86.62833333,48.08,11.8225
83.355,3.428333333,435.2641667,31.60916667,0.78,311.6875,-86.6825,48.03666667,11.72333333
82.92,3.411666667,435.5125,31.12166667,0.7725,311.5633333,-86.6625,48.07833333,11.74
82.88416667,3.405,435.6991667,31.8325,0.770833333,311.3891667,-86.73916667,48.03166667,11.62583333
82.42,3.388333333,435.765,31.38083333,0.77,311.3716667,-86.8025,48.1325,11.585
82.20833333,3.379166667,435.7233333,31.93666667,0.77,311.1925,-86.88666667,48.00416667,11.475
82.01666667,3.37,435.7541667,32.50166667,0.768333333,310.9491667,-87.00666667,47.97916667,11.3975
82.16916667,3.3625,435.5666667,32.72416667,0.761666667,311.0975,-87.00333333,47.83833333,11.37416667
82.90583333,3.3525,435.2691667,33.84916667,0.763333333,310.9508333,-87.09583333,47.81916667,11.35916667
82.4325,3.358333333,435.0133333,33.64166667,0.761666667,311.805,-87.08916667,47.69,11.3075
83.6825,3.346666667,434.6325,35.16833333,0.763333333,311.3016667,-87.1525,47.67583333,11.32416667
82.58363636,3.359090909,434.1709091,34.42454545,0.76,311.6127273,-87.15363636,47.58363636,11.23909091
83.72909091,3.359090909,433.7172727,35.31272727,0.762727273,310.9,-87.22909091,47.57272727,11.28454545
83.05166667,3.375833333,433.7025,34.7875,0.76,311.2741667,-87.19333333,47.53666667,11.2975
83.7875,3.366666667,433.6691667,35.425,0.7625,312.2466667,-87.1625,47.50166667,11.34416667
83.71416667,3.368333333,433.6233333,35.73583333,0.759166667,312.0658333,-87.25416667,47.49416667,11.255
83.78,3.3575,433.6566667,35.66583333,0.760833333,313.535,-87.23833333,47.41666667,11.28833333
83.89333333,3.3575,433.7466667,35.88166667,0.759166667,314.075,-87.275,47.4325,11.255
