eturb_m1_steam_flow_in,eturb_m1_steam_flow_side,eturb_m1_electricity_generation,eturb_m2_steam_flow_in,eturb_m2_steam_flow_side,eturb_m2_electricity_generation
-0.396666667,-0.286666667,-0.031666667,-1.605,0.055833333,-0.034166667
0.5175,0.360833333,0.026666667,0.749166667,-0.128333333,0.018333333
-1.515833333,-1.138333333,-0.104166667,-3.875833333,0.195,0.039166667
0.261666667,0.286666667,-0.039166667,-1.695,0.040833333,-0.025833333
0.581666667,0.385,0.096666667,1.680833333,-0.2875,0.0275
-0.549166667,-0.124166667,-0.069166667,0.839166667,0.491666667,-0.026666667
0.535,0.524166667,0.014166667,2.36,0.593333333,-0.031666667
1.125833333,0.66,0.103333333,2.493333333,-0.129166667,-0.011666667
-1.900833333,-1.380833333,-0.169166667,-4.115,0.055833333,-0.003333333
0.5425,0.391666667,0.0275,2.421666667,-0.518333333,0.008333333
1.595833333,1.1125,0.175,2.274166667,0.230833333,-0.050833333
-1.004166667,0.210833333,-0.1875,0.838333333,0.63,-0.118333333
0.493333333,0.74,0.004166667,-0.066666667,0.691666667,-0.0775
1.6225,0.839166667,0.208333333,0.015833333,0.050833333,-0.043333333
-0.43,0.040833333,-0.083333333,-0.055,0.4275,-0.0575
-0.118333333,0.2675,-0.070833333,-0.3975,0.188333333,-0.100833333
0.6075,0.48,0.0325,-0.145833333,0.1625,-0.035
0.83,0.57,0.114166667,1.020833333,0.3575,-0.010833333
-0.331666667,-0.121666667,-0.080833333,0.949166667,0.224166667,-0.006666667
-0.9525,-0.203333333,-0.165,-1.739166667,-0.355,-0.135
0.736666667,0.066666667,0.121666667,0.661666667,0.404166667,0.008333333
-0.375833333,-0.2475,-0.060833333,-0.58,-0.5375,-0.045833333
-0.141666667,-0.08,-0.000833333,0.204166667,-0.115833333,0.009166667
-0.265833333,-0.014166667,-0.056666667,-0.445833333,-0.0325,-0.060833333
0.239166667,0.095,0.011666667,-0.359166667,0.096666667,-0.0075
0.210833333,-0.075833333,0.06,1.165833333,0.375,0.1
-0.151666667,0.043333333,0.005833333,0.040833333,-0.4925,0.036666667
0.0225,0.061666667,-0.015,-0.670833333,0.240833333,-0.104166667
-0.81,-0.554166667,-0.113333333,-0.541666667,0.071666667,-0.041666667
0.058333333,0.081666667,0.025,0.049166667,-0.703333333,0.043333333
0.211666667,-0.239166667,0.053333333,0.090833333,0.114166667,0.025
-0.291666667,-0.225,-0.020833333,-0.143333333,-0.0775,0.0125
0.225,0.05,0.05,0.475,-0.308333333,0.0725
-0.225833333,-0.520833333,-0.013333333,0.021666667,-0.185,0.014166667
-0.22,-0.019166667,-0.035833333,0.270833333,-0.060833333,0.045
0.169166667,-0.16,0.0375,-0.4725,-0.126666667,0.0025
-0.514166667,-0.3925,-0.006666667,0.2625,-0.245833333,0.115
-0.148333333,-0.369166667,0.010833333,0.219166667,-0.081666667,0.114166667
-0.071666667,-0.3975,0.043333333,0.204166667,-0.2675,0.098333333
0.908333333,0.155833333,0.135,0.099166667,-0.533333333,0.103333333
-1.543333333,-1.308333333,-0.076666667,0.3325,-0.071666667,0.0975
-0.061666667,-0.266666667,0.028333333,-0.873333333,-0.665833333,0.121666667
1.125,0.524166667,0.095833333,0.924166667,-0.635833333,-0.003333333
-1.540833333,-0.9975,-0.105,-3.1475,0.139166667,0.099166667
